_id,value
1847_10,0
1847_11,0
1847_12,0
1847_2,0
1847_3,0
1847_4,0
1847_5,0
1847_6,0
1847_7,0
1847_8,0
1847_9,0
1847_undefined,0
1848_1,0
1848_10,0
1848_11,0
1848_12,0
1848_2,0
1848_3,0
1848_4,0
1848_5,0
1848_6,0
1848_7,0
1848_8,0
1848_9,0
1848_undefined,0
1849_1,0
1849_10,0
1849_11,0
1849_12,0
1849_2,0
1849_3,0
1849_4,0
1849_5,0
1849_6,0
1849_7,0
1849_8,0
1849_9,0
1849_undefined,1
1850_1,0
1850_10,0
1850_11,0
1850_12,0
1850_2,0
1850_3,0
1850_4,0
1850_5,0
1850_6,0
1850_7,0
1850_8,0
1850_9,0
1850_undefined,1
1851_1,0
1851_10,0
1851_11,0
1851_12,0
1851_2,0
1851_3,0
1851_4,0
1851_5,0
1851_6,0
1851_7,0
1851_8,0
1851_9,0
1851_undefined,0
1852_1,0
1852_10,0
1852_11,0
1852_12,0
1852_2,0
1852_3,0
1852_4,0
1852_5,0
1852_6,0
1852_7,0
1852_8,0
1852_9,0
1852_undefined,0
1853_1,0
1853_10,0
1853_11,0
1853_12,0
1853_2,0
1853_3,0
1853_4,0
1853_5,0
1853_6,0
1853_7,0
1853_8,0
1853_9,0
1853_undefined,4
1854_1,0
1854_10,0
1854_11,0
1854_12,0
1854_2,0
1854_3,0
1854_4,0
1854_5,0
1854_6,0
1854_7,0
1854_8,0
1854_9,0
1854_undefined,0
1855_1,0
1855_10,0
1855_11,0
1855_12,0
1855_2,0
1855_3,0
1855_4,0
1855_5,0
1855_6,0
1855_7,0
1855_8,0
1855_9,0
1855_undefined,1
1856_1,0
1856_10,0
1856_11,0
1856_12,0
1856_2,0
1856_3,0
1856_4,0
1856_5,0
1856_6,0
1856_7,0
1856_8,0
1856_9,0
1856_undefined,0
1857_1,0
1857_10,0
1857_11,0
1857_12,0
1857_2,0
1857_3,0
1857_4,0
1857_5,0
1857_6,0
1857_7,0
1857_8,0
1857_9,0
1857_undefined,1
1858_1,0
1858_10,0
1858_11,0
1858_12,0
1858_2,0
1858_3,0
1858_4,0
1858_5,0
1858_6,0
1858_7,0
1858_8,0
1858_9,0
1858_undefined,2
1859_1,0
1859_10,0
1859_11,0
1859_12,0
1859_2,0
1859_3,0
1859_4,0
1859_5,0
1859_6,0
1859_7,0
1859_8,0
1859_9,0
1859_undefined,0
1860_1,0
1860_10,0
1860_11,0
1860_12,0
1860_2,0
1860_3,0
1860_4,0
1860_5,0
1860_6,0
1860_7,0
1860_8,0
1860_9,0
1860_undefined,6
1861_1,0
1861_10,0
1861_11,0
1861_12,0
1861_2,0
1861_3,0
1861_4,0
1861_5,0
1861_6,0
1861_7,0
1861_8,0
1861_9,0
1861_undefined,1
1862_1,0
1862_10,0
1862_11,0
1862_12,0
1862_2,0
1862_3,0
1862_4,0
1862_5,0
1862_6,0
1862_7,0
1862_8,0
1862_9,0
1862_undefined,1
1863_1,0
1863_10,0
1863_11,0
1863_12,1
1863_2,0
1863_3,0
1863_4,0
1863_5,0
1863_6,0
1863_7,0
1863_8,0
1863_9,0
1863_undefined,0
1864_1,0
1864_10,0
1864_11,0
1864_12,0
1864_2,0
1864_3,0
1864_4,0
1864_5,0
1864_6,0
1864_7,0
1864_8,0
1864_9,0
1864_undefined,1
1865_1,0
1865_10,0
1865_11,0
1865_12,0
1865_2,0
1865_3,0
1865_4,0
1865_5,0
1865_6,0
1865_7,0
1865_8,0
1865_9,0
1865_undefined,0
1866_1,0
1866_10,0
1866_11,0
1866_12,0
1866_2,1
1866_3,0
1866_4,0
1866_5,0
1866_6,0
1866_7,0
1866_8,0
1866_9,0
1866_undefined,0
1867_1,0
1867_10,0
1867_11,0
1867_12,0
1867_2,0
1867_3,0
1867_4,0
1867_5,0
1867_6,0
1867_7,0
1867_8,0
1867_9,0
1867_undefined,0
1868_1,0
1868_10,0
1868_11,0
1868_12,0
1868_2,0
1868_3,0
1868_4,0
1868_5,1
1868_6,0
1868_7,0
1868_8,0
1868_9,1
1868_undefined,2
1869_1,0
1869_10,1
1869_11,0
1869_12,0
1869_2,0
1869_3,3
1869_4,0
1869_5,2
1869_6,0
1869_7,0
1869_8,0
1869_9,0
1869_undefined,1
1870_1,0
1870_10,0
1870_11,0
1870_12,0
1870_2,0
1870_3,0
1870_4,0
1870_5,0
1870_6,0
1870_7,0
1870_8,0
1870_9,0
1870_undefined,2
1871_1,1
1871_10,0
1871_11,0
1871_12,0
1871_2,0
1871_3,1
1871_4,0
1871_5,1
1871_6,0
1871_7,0
1871_8,0
1871_9,1
1871_undefined,0
1872_1,0
1872_10,0
1872_11,1
1872_12,0
1872_2,0
1872_3,1
1872_4,0
1872_5,0
1872_6,0
1872_7,0
1872_8,0
1872_9,0
1872_undefined,0
1873_1,0
1873_10,0
1873_11,0
1873_12,0
1873_2,0
1873_3,1
1873_4,0
1873_5,0
1873_6,0
1873_7,0
1873_8,0
1873_9,0
1873_undefined,1
1874_1,2
1874_10,1
1874_11,0
1874_12,0
1874_2,0
1874_3,0
1874_4,1
1874_5,0
1874_6,0
1874_7,0
1874_8,0
1874_9,0
1874_undefined,0
1875_1,0
1875_10,0
1875_11,1
1875_12,0
1875_2,1
1875_3,0
1875_4,0
1875_5,0
1875_6,0
1875_7,0
1875_8,0
1875_9,0
1875_undefined,0
1876_1,0
1876_10,0
